"period","estimate","conf.low","conf.high"
-8,-3.25151124726151,-10.5767090609187,4.07368656639571
-7,-1.14440069761061,-9.99129542523167,7.70249403001044
-6,-0.806775037084305,-6.73727104915888,5.12372097499028
-5,-2.74507425310158,-8.0275047358932,2.53735622969005
-4,0.20465813770129,-4.57800043514616,4.98731671054874
-3,-2.35582786794883,-8.30121664872648,3.58956091282882
-2,-0.536574626644979,-5.59768643509204,4.52453718180208
-1,0,0,0
0,0.330574157193751,-5.10052399112598,5.76167230551348
1,-1.54993180366936,-7.42796002346534,4.32809641612661
2,-1.59427468676099,-9.37163518491943,6.18308581139744
3,-0.631250184594549,-6.35887056266783,5.09637019347873
4,-2.84012139412273,-8.57351309083272,2.89327030258726
5,-2.28576317752005,-7.90516594611851,3.3336395910784
6,-3.19453787558685,-10.3986845285202,4.00960877734645
7,-5.06151149422706,-11.9763544205332,1.85333143207904
8,-6.94544668025681,-13.2181131182529,-0.672780242260693
9,-4.81135880729742,-11.0854729712294,1.46275535663456
10,-8.28776140018672,-15.7559972165736,-0.819525583799851
