event_time,csdid_event_time,twfe_event_time
-10.0,54.809545834859215,0.3029893502178851
-9.0,56.522612831809305,-4.59445648421611
-8.0,59.55571159362793,-1.3489167480445303
-7.0,59.779012858867645,0.19320001409985021
-6.0,62.14386839025161,-0.19424406062165644
-5.0,59.15228695339627,-1.9459028771466333
-4.0,62.91013367970785,0.7193795218513666
-3.0,61.083157274458145,-2.1332860314483186
-2.0,64.50989108615451,-0.1342993465963449
0.0,64.98177491294012,0.4333983093805962
1.0,62.83416302998861,-1.2385206013636854
2.0,63.48862028121948,-0.7699561445924896
3.0,62.689301861657036,-0.18615035592943174
4.0,60.99216058519151,-2.315163051039468
5.0,59.35863823360867,-1.7908157396156312
6.0,57.57310173246596,-2.9366831383024063
7.0,54.026425997416176,-4.905932731589648
8.0,51.35952186584473,-7.362147978736573
9.0,52.41817315419515,-5.72880451826633
10.0,47.81149699952867,-10.849693895692548
